时间, 19:22
节点, 点号, 采样值
54, 58, 0.00
54, 59, 0.00
54, 72, 0.00
54, 73, 0.00
54, 74, 0.00
54, 75, 0.00
55, 58, 0.00
55, 59, 0.00
55, 72, 0.00
55, 73, 0.00
55, 74, 0.00
55, 75, 0.00
56, 58, 0.00
56, 59, 0.00
56, 72, 0.00
56, 73, 0.00
56, 74, 0.00
56, 75, 0.00
57, 58, 0.00
57, 59, 0.00
57, 72, 0.00
57, 73, 0.00
57, 74, 0.00
57, 75, 0.00
58, 58, 0.00
58, 59, 0.00
58, 72, 0.00
58, 73, 0.00
58, 74, 0.00
58, 75, 0.00
59, 58, 0.00
59, 59, 0.00
59, 72, 0.00
59, 73, 0.00
59, 74, 0.00
59, 75, 0.00
60, 58, 0.00
60, 59, 0.00
60, 72, 0.00
60, 73, 0.00
60, 74, 0.00
60, 75, 0.00
61, 58, 0.00
61, 59, 0.00
61, 72, 0.00
61, 73, 0.00
61, 74, 0.00
61, 75, 0.00
62, 58, 0.00
62, 59, 0.00
62, 72, 0.00
62, 73, 0.00
62, 74, 0.00
62, 75, 0.00
63, 58, 0.00
63, 59, 0.00
63, 72, 0.00
63, 73, 0.00
63, 74, 0.00
63, 75, 0.00
64, 58, 0.00
64, 59, 0.00
64, 72, 0.00
64, 73, 0.00
64, 74, 0.00
64, 75, 0.00
65, 58, 0.00
65, 59, 0.00
65, 72, 0.00
65, 73, 0.00
65, 74, 0.00
65, 75, 0.00
66, 58, 0.00
66, 59, 0.00
66, 72, 0.00
66, 73, 0.00
66, 74, 0.00
66, 75, 0.00
67, 58, 0.00
67, 59, 0.00
67, 72, 0.00
67, 73, 0.00
67, 74, 0.00
67, 75, 0.00
68, 58, 0.00
68, 59, 0.00
68, 72, 0.00
68, 73, 0.00
68, 74, 0.00
68, 75, 0.00
69, 58, 0.00
69, 59, 0.00
69, 72, 0.00
69, 73, 0.00
69, 74, 0.00
69, 75, 0.00
70, 58, 0.00
70, 59, 0.00
70, 72, 0.00
70, 73, 0.00
70, 74, 0.00
70, 75, 0.00
71, 58, 0.00
71, 59, 0.00
71, 72, 0.00
71, 73, 0.00
71, 74, 0.00
71, 75, 0.00
72, 58, 0.00
72, 59, 0.00
72, 72, 0.00
72, 73, 0.00
72, 74, 0.00
72, 75, 0.00
73, 58, 0.00
73, 59, 0.00
73, 72, 0.00
73, 73, 0.00
73, 74, 0.00
73, 75, 0.00
74, 58, 0.00
74, 59, 0.00
74, 72, 0.00
74, 73, 0.00
74, 74, 0.00
74, 75, 0.00
75, 58, 0.00
75, 59, 0.00
75, 72, 0.00
75, 73, 0.00
75, 74, 0.00
75, 75, 0.00
76, 58, 0.00
76, 59, 0.00
76, 72, 0.00
76, 73, 0.00
76, 74, 0.00
76, 75, 0.00
77, 58, 0.00
77, 59, 0.00
77, 72, 0.00
77, 73, 0.00
77, 74, 0.00
77, 75, 0.00
78, 58, 0.00
78, 59, 0.00
78, 72, 0.00
78, 73, 0.00
78, 74, 0.00
78, 75, 0.00
79, 58, 0.00
